DrugName,,B,,D,,,E,,,,L,,M,N,,,,R,,
BRAIN,,,,,,,HAIOTB,,,,0,,$18.97,$72.00,,,,Winston Salem Sales Tax,,
CIRC,,,,,,,HAIOTB,,,,0,,$4.35,$26.00,,,,Winston Salem Sales Tax,,
DAILY MULTI,,,,,,,HAIOTB,,,,0,,$8.75,$26.50,,,,Winston Salem Sales Tax,,
DK BUNDLE,,,,,,,HAIOTB,,,,0,,$5.72,$37.99,,,,Winston Salem Sales Tax,,
ESTRO,,,,,,,HAIOTB,,,,0,,$3.80,$32.00,,,,Winston Salem Sales Tax,,
EYE,,,,,,,HAIOTB,,,,0,,$6.33,$27.00,,,,Winston Salem Sales Tax,,
INFLA,,,,,,,HAIOTB,,,,0,,$6.55,$28.00,,,,Winston Salem Sales Tax,,
KETOX,,,,,,,HAIOTB,,,,0,,$13.65,$51.00,,,,Winston Salem Sales Tax,,
LEPTIN,,,,,,,HAIOTB,,,,0,,$3.90,$29.00,,,,Winston Salem Sales Tax,,
MAG,,,,,,,HAIOTB,,,,0,,$6.59,$24.00,,,,Winston Salem Sales Tax,,
MAX,,,,,,,HAIOTB,,,,0,,$3.65,$28.00,,,,Winston Salem Sales Tax,,
MUS,,,,,,,HAIOTB,,,,0,,$11.00,$34.00,,,,Winston Salem Sales Tax,,
VIT K,,,,,,,HAIOTB,,,,0,,$3.50,$12.00,,,,Winston Salem Sales Tax,,
OMEGA,,,,,,,HAIOTB,,,,0,,$8.54,$32.00,,,,Winston Salem Sales Tax,,
PLANT,,,,,,,HAIOTB,,,,0,,$7.65,$29.25,,,,Winston Salem Sales Tax,,
PREG,,,,,,,HAIOTB,,,,0,,$7.87,$29.99,,,,Winston Salem Sales Tax,,
PRO,,,,,,,HAIOTB,,,,0,,$11.15,$35.00,,,,Winston Salem Sales Tax,,
TURM,,,,,,,HAIOTB,,,,0,,$5.27,$28.00,,,,Winston Salem Sales Tax,,
VIT D,,,,,,,HAIOTB,,,,0,,$3.63,$22.00,,,,Winston Salem Sales Tax,,
VIT D & K,,7500 IU/ 200 MCG,,,,,HAIOTB,,,,0,,$3.75,$28.00,,,,Winston Salem Sales Tax,,
VIT K,,,,,,,HAIOTB,,,,0,,$3.75,$23.99,,,,Winston Salem Sales Tax,,
LUGOL'S SOLUTION,,2%,,2 oz,,,J.Crow Company,,,,0,,$12.50,$18.00,,,,Winston Salem Sales Tax,,
CONTEGRA,,,,60 CAP,,,Sanesco,,,,0,,$35.20,$53.00,,,,Winston Salem Sales Tax,,
LENTRA,,,,60 CAP,,,Sanesco,,,,0,,$38.46,$60.00,,,,Winston Salem Sales Tax,,
METHYLMAX,,,,60 CAP,,,Sanesco,,,,0,,$27.50,$42.00,,,,Winston Salem Sales Tax,,
PROCITE-D,,,,60 CAP,,,Sanesco,,,,0,,$31.46,$48.00,,,,Winston Salem Sales Tax,,
PROLENT,,,,60 CAP,,,Sanesco,,,,0,,$36.30,$55.00,,,,Winston Salem Sales Tax,,
SOMNITR,,,,30 TAB,,,Sanesco,,,,0,,$19.36,$29.00,,,,Winston Salem Sales Tax,,
TRANQUILENT,,,,30 TAB,,,Sanesco,,,,0,,$15.40,$24.00,,,,Winston Salem Sales Tax,,
FRACTIONATED COCONUT OIL,,,,,,,"Aromaland, Inc.",,,,0,,$6.29,$11.00,,,,Winston Salem Sales Tax,,
HAND SANITIZER,,,,8 OZ,,,"Aromaland, Inc.",,,,0,,$3.99,$6.00,,,,Winston Salem Sales Tax,,
GODDESS SPIRIT ESSENTIAL OIL,,,,,,,"Aromaland, Inc.",,,,0,,$5.60,$8.00,,,,Winston Salem Sales Tax,,
STRESS RELEASE ESSENTIAL OIL,,,,,,,"Aromaland, Inc.",,,,0,,$18.90,$25.00,,,,Winston Salem Sales Tax,,
JOJOBA ESSENTIAL OIL,,,,8 OZ,,,"Aromaland, Inc.",,,,0,,$18.99,$28.00,,,,Winston Salem Sales Tax,,
MOTHER NATURE ESSENTIAL OIL,,,,,,,"Aromaland, Inc.",,,,0,,$7.10,$10.00,,,,Winston Salem Sales Tax,,
GRAPESEED OIL,,,,8 OZ,,,"Aromaland, Inc.",,,,0,,$4.49,$8.00,,,,Winston Salem Sales Tax,,
CHERRY BLOSSOM ESSENTIAL OIL,,,,,,,"Aromaland, Inc.",,,,0,,$29.52,$35.00,,,,Winston Salem Sales Tax,,
REVITALIZING ESSENTIAL OIL,,,,,,,"Aromaland, Inc.",,,,0,,$5.60,$8.00,,,,Winston Salem Sales Tax,,
ANGEL OIL ESSENTIAL OIL,,,,1/3 OZ,,,"Aromaland, Inc.",,,,0,,$5.80,$10.00,,,,Winston Salem Sales Tax,,
BEDTIME ESSENTIAL OIL,,,,1/3 OZ,,,"Aromaland, Inc.",,,,0,,$13.95,$20.00,,,,Winston Salem Sales Tax,,
BERGAMOT ESSENTIAL OIL,,,,1/3 OZ,,,"ARomaland, Inc.",,,,0,,$6.90,$11.00,,,,Winston Salem Sales Tax,,
BREATHE WELL ESSENTIAL OIL,,,,1/3 OZ,,,"ARomaland, Inc.",,,,0,,$6.10,$10.00,,,,Winston Salem Sales Tax,,
CALMING BLEND ESSENTIAL OIL,,,,1/3 OZ,,,"Aromaland, Inc.",,,,0,,$6.10,$10.00,,,,Winston Salem Sales Tax,,
CEDARWOOD ESSENTIAL OIL,,,,1/3 OZ,,,"Aromaland, Inc.",,,,0,,$5.00,$8.00,,,,Winston Salem Sales Tax,,
CELEBRATE ESSENTIAL OIL,,,,1/3 OZ,,,"Aromaland, Inc.",,,,0,,$4.00,$12.00,,,,Winston Salem Sales Tax,,
CITRUS BLEND ESSENTIAL OIL,,,,,,,"Aromaland, Inc.",,,,0,,$5.25,$8.00,,,,Winston Salem Sales Tax,,
CLARY SAGE ESSENTIAL OIL,,,,1/3 OZ,,,"Aromaland, Inc.",,,,0,,$8.65,$5.00,,,,Winston Salem Sales Tax,,
CLOVE BUD ESSENTIAL OIL,,,,1/3 OZ,,,"Aromaland, Inc.",,,,0,,$4.50,$9.00,,,,Winston Salem Sales Tax,,
ENERGIZING ESSENTIAL OIL,,,,1/3 OZ,,,"Aromaland, Inc.",,,,0,,$4.95,$8.00,,,,Winston Salem Sales Tax,,
EUCALYPTUS ESSENTIAL OIL,,,,1/3 OZ,,,"Aromaland, Inc.",,,,0,,$4.25,$11.00,,,,Winston Salem Sales Tax,,
EVERGREEN ESSENTIAL OIL,,,,1/3 OZ,,,"Aromaland, Inc.",,,,0,,$5.80,$10.00,,,,Winston Salem Sales Tax,,
FRANKINCENSE ESSENTIAL OIL,,100%,,1/3 OZ,,,"Aromaland, Inc.",,,,0,,$14.85,$26.00,,,,Winston Salem Sales Tax,,
FRANKINCENSE ESSENTIAL OIL,,10%,,1/3 OZ,,,"Aromaland, Inc.",,,,0,,$7.38,$12.00,,,,Winston Salem Sales Tax,,
GERANIUM ESSENTIAL OIL,,,,1/3 OZ,,,"Aromaland, Inc.",,,,0,,$5.45,$5.00,,,,Winston Salem Sales Tax,,
INSPIRATION ESSENTIAL OIL,,,,1/3 OZ,,,"Aromaland, Inc.",,,,0,,$5.00,$9.00,,,,Winston Salem Sales Tax,,
BULGERIAN LAVENDER ESSENTIAL OIL,,,,1/3 OZ,,,"Aromaland, Inc.",,,,0,,$4.50,$11.00,,,,Winston Salem Sales Tax,,
FRENCH LAVENDER ESSENTIAL OIL,,,,1/3 OZ,,,"Aromaland, Inc.",,,,0,,$5.04,$8.00,,,,Winston Salem Sales Tax,,
LEMON VERBENA ESSENTIAL OIL,,,,,,,"Aromaland, Inc.",,,,0,,$5.40,$8.00,,,,Winston Salem Sales Tax,,
ORANGE CALIFORNIA ESSENTIAL OIL,,,,1/3 OZ,,,"Aromaland, Inc.",,,,0,,$2.58,$7.00,,,,Winston Salem Sales Tax,,
PEPPERMINT ESSENTIAL OIL,,,,1/3 OZ,,,"Aromaland, Inc.",,,,0,,$4.80,$9.00,,,,Winston Salem Sales Tax,,
PERSONAL DEFENSE ESSENTIAL OIL,,,,1/3 OZ,,,"Aromaland, Inc.",,,,0,,$6.90,$11.00,,,,Winston Salem Sales Tax,,
PURIFYING ESSENTIAL OIL,,,,1/3 OZ,,,"Aromaland, Inc.",,,,0,,$5.75,$10.00,,,,Winston Salem Sales Tax,,
ROSE MOROCCAN ESSENTIAL OIL,,10%,,,,,"Aromaland, Inc.",,,,0,,$12.30,$23.00,,,,Winston Salem Sales Tax,,
ROSEMARY ESSENTIAL OIL,,,,1/3 OZ,,,"Aromaland, Inc.",,,,0,,$3.72,$9.00,,,,Winston Salem Sales Tax,,
TAKE FIVE ESSENTIAL OIL,,,,1/3 OZ,,,"Aromaland, Inc.",,,,0,,$7.65,$12.00,,,,Winston Salem Sales Tax,,
TEA TREE ESSENTIAL OIL,,,,1/3 OZ,,,"Aromaland, Inc.",,,,0,,$5.30,$11.00,,,,Winston Salem Sales Tax,,
SLEEPY GUMMIES,,,,30 CT,,,Winged Nutrition LLC,,,,0,,$20.97,$35.00,,,,Winston Salem Sales Tax,,
RELAXATION GUMMIES,,,,30 CT,,,Winged Nutrition LLC,,,,0,,$20.97,$35.00,,,,Winston Salem Sales Tax,,
SLEEPYHEAD,,,,60 GUMMIES,,,Winged Nutrition LLC,,,,0,,$14.97,$25.00,,,,Winston Salem Sales Tax,,
RISE UP,,,,60 GUMMIES,,,Winged Nutrition LLC,,,,0,,$14.97,$25.00,,,,Winston Salem Sales Tax,,
MELATONIN,,60 MG,,60 GUMMIES,,,Scientific Health,,,,0,,$29.00,$58.00,,,,Winston Salem Sales Tax,,
MELATONIN,,60 MG,,60 CAP,,,Scientific Health,,,,0,,$16.48,$28.00,,,,Winston Salem Sales Tax,,
UP DOG SUN SALUTE,,,,,,,UP DOG KOMBUCHA,,,,0,,$3.00,$4.50,,,,Winston Salem Sales Tax,,
UPDOG SPHINX,,,,12 OZ,,,UP DOG KOMBUCHA,,,,0,,$3.00,$4.50,,,,Winston Salem Sales Tax,,
UPDOG HAPPY BABY,,,,12 OZ,,,UP DOG KOMBUCHA,,,,0,,$3.00,$4.50,,,,Winston Salem Sales Tax,,
UP DOG FIREFLY,,,,,,,UP DOG KOMBUCHA,,,,0,,$3.00,$4.50,,,,Winston Salem Sales Tax,,
OLEANDER,,,,,,,Avila Herbs,,,,0,,$43.07,$70.00,,,,Winston Salem Sales Tax,,
CAT'S CLAW,,1000 MG,,100 CAP,,,Raintree Formulas,,,,0,,$9.00,$16.00,,,,Winston Salem Sales Tax,,
CHANCA PIEDRA,,500 MG,,100 CAP,,,Raintree Formulas,,,,0,,$12.00,$20.00,,,,Winston Salem Sales Tax,,
N-TENSE,,700 MG,,120 CAP,,,Raintree Formulas,,,,0,,$17.00,$30.00,,,,Winston Salem Sales Tax,,
AMAZON A-P,,1.95 GR,,120 CAP,,,Raintree Formulas,,,,0,,$15.50,$30.00,,,,Winston Salem Sales Tax,,
AMAZON A-F,,650 MG,,120 CAP,,,Raintree Formulas,,,,0,,$15.50,$30.00,,,,Winston Salem Sales Tax,,
AMAZON SPIRO,,650 CAP,,120 CAP,,,Raintree Formulas,,,,0,,$15.50,$30.00,,,,Winston Salem Sales Tax,,
GRAVIOLA MAX,,650 MG,,120 CAP,,,Raintree Formulas,,,,0,,$16.00,$15.00,,,,Winston Salem Sales Tax,,
MYCO,,650 CAP,,120 CAP,,,Raintree Formulas,,,,0,,$16.00,$30.00,,,,Winston Salem Sales Tax,,
CLAVO HUASCA,,500 MG,,100 CAP,,,Raintree Formulas,,,,0,,$12.00,$20.00,,,,Winston Salem Sales Tax,,
CHUCHUHUASI,,,,2 OZ,,,Raintree Formulas,,,,0,,$12.50,$21.00,,,,Winston Salem Sales Tax,,
CLAVO HUASCA,,,,2 OZ,,,Raintree Formulas,,,,0,,$11.00,$16.50,,,,Winston Salem Sales Tax,,
SIMAROUBA,,,,,,,Raintree Formulas,,,,0,,$12.00,$20.00,,,,Winston Salem Sales Tax,,
VITALITY,,650 MG,,120 CAP,,,RAINTREE FORMULAS,,,,0,,$17.00,$32.00,,,,Winston Salem Sales Tax,,
AMAZON A-V,,650 MG,,120 CAP,,,RAINTREE FORMULAS,,,,0,,$15.50,$30.00,,,,Winston Salem Sales Tax,,
LIPS SPF30,,,,,,,Eco-Lips,,,,0,,$2.09,$3.00,,,,Winston Salem Sales Tax,,
MONGO KISS ORANGE,,,,,,,Eco-Lips,,,,0,,$1.79,$3.00,,,,Winston Salem Sales Tax,,
MONGO KISS YUMBERRY,,,,,,,Eco-Lips,,,,0,,$1.79,$3.00,,,,Winston Salem Sales Tax,,
LIP FOOD PROTECT,,,,,,,Eco-Lips,,,,0,,$1.96,$3.00,,,,Winston Salem Sales Tax,,
LIP FOOD PLUMP,,,,,,,Eco-Lips,,,,0,,$1.96,$3.00,,,,Winston Salem Sales Tax,,
LIP FOOD NOURISH,,,,,,,Eco-Lips,,,,0,,$1.96,$3.00,,,,Winston Salem Sales Tax,,
LIP & CHEEK TINT NUDE,,,,,,,Eco-Lips,,,,0,,$4.31,$7.00,,,,Winston Salem Sales Tax,,
LIP & CHEEK TINT PINK,,,,,,,Eco-Lips,,,,0,,$4.31,$7.00,,,,Winston Salem Sales Tax,,
LIP & CHEEK TINT RED,,,,,,,Eco-Lips,,,,0,,$4.31,$7.00,,,,Winston Salem Sales Tax,,
LIP TINT BLESSED,,,,,,,Eco-Lips,,,,0,,$3.29,$5.00,,,,Winston Salem Sales Tax,,
LIP TINT BLISSFUL,,,,,,,Eco-Lips,,,,0,,$3.29,$5.00,,,,Winston Salem Sales Tax,,
LIP TINT BOLD,,,,,,,Eco-Lips,,,,0,,$3.29,$5.00,,,,Winston Salem Sales Tax,,
LIP TINT BRAVE,,,,,,,Eco-Lips,,,,0,,$3.29,$5.00,,,,Winston Salem Sales Tax,,
LIP TINT BRAZEN,,,,,,,Eco-Lips,,,,0,,$3.29,$5.00,,,,Winston Salem Sales Tax,,
LIP SCRUB BROWN SUGAR,,,,,,,Eco-Lips,,,,0,,$3.36,$6.00,,,,Winston Salem Sales Tax,,
LIP SCRUB MINT TRUFFLE,,,,,,,Eco-Lips,,,,0,,$3.36,$6.00,,,,Winston Salem Sales Tax,,
LIP SCRUB VANILLA BEAN,,,,,,,Eco-Lips,,,,0,,$3.36,$6.00,,,,Winston Salem Sales Tax,,
BUG CANDLE,,,,,,,Eco-Lips,,,,0,,$6.59,$11.00,,,,Winston Salem Sales Tax,,
BUG SOOTHER,,,,4 OZ,,,Eco-Lips,,,,0,,$4.19,$7.00,,,,Winston Salem Sales Tax,,
BUG SOOTHER,,,,2 OZ,,,Eco-Lips,,,,0,,$2.69,$5.00,,,,Winston Salem Sales Tax,,
BUG SOOTHER,,,,8 OZ,,,Eco-Lips,,,,0,,$5.99,$10.00,,,,Winston Salem Sales Tax,,
LIPS SPF15,,,,,,,Eco-Lips,,,,0,,$2.09,$3.00,,,,Winston Salem Sales Tax,,
MONGO KISS POMEGRANATE,,,,,,,Eco-Lips,,,,0,,$1.79,$3.00,,,,Winston Salem Sales Tax,,
MONGO KISS VANILLA HONEY,,,,,,,Eco-Lips,,,,0,,$1.79,$3.00,,,,Winston Salem Sales Tax,,
BEE FREE UNFLAVORED,,,,,,,Eco-Lips,,,,0,,$2.09,$3.25,,,,Winston Salem Sales Tax,,
BEE FREE SUPERFRUIT,,,,,,,Eco-Lips,,,,0,,$2.09,$3.25,,,,Winston Salem Sales Tax,,
BEE FREE SWEET MINT,,,,,,,Eco-Lips,,,,0,,$1.79,$3.00,,,,Winston Salem Sales Tax,,
COPPER BALANCE,,,,60 CAP,,,Physician Designed,,,,0,,$20.00,$38.00,,,,Winston Salem Sales Tax,,
MTHFR RENEW,,,,60 CAP,,,Physician Designed,,,,0,,$20.00,$38.00,,,,Winston Salem Sales Tax,,
MTHFR ENDURE,,,,60 CAP,,,Physician Designed,,,,0,,$20.00,$38.00,,,,Winston Salem Sales Tax,,
MTHFR TINY VIT,,,,30 CHEWABLE,,,Physician Designed,,,,0,,$12.48,$23.00,,,,Winston Salem Sales Tax,,
BRAIN SUPPORT PQQ & COQ10,,,,60 CAP,,,Physician Designed,,,,0,,$30.00,$55.00,,,,Winston Salem Sales Tax,,
SERUM X,,,,,,,Physician Designed,,,,0,,$60.00,$110.00,,,,Winston Salem Sales Tax,,
VARS REVIVE TOPICAL,,,,,,,Physician Designed,,,,0,,$30.00,$58.00,,,,Winston Salem Sales Tax,,
VARS LIPO GLUTATHIONE,,,,,,,Physician Designed,,,,0,,$30.00,$55.00,,,,Winston Salem Sales Tax,,
ALLULOSE SWEETNER,,,,11.5 OZ,,,KEHE,,,,0,,$5.35,$7.00,,,,Winston Salem Sales Tax,,
ALOE VERA JUICE,,,,16 OZ,,,KEHE,,,,0,,$4.53,$8.00,,,,Winston Salem Sales Tax,,
ALOE VERA JUICE,,,,32 OZ,,,KEHE,,,,0,,$4.62,$12.00,,,,Winston Salem Sales Tax,,
SPAGHETTI - DELALLO,,,,,,,KEHE,,,,0,,$3.70,$5.00,,,,Winston Salem Sales Tax,,
FUSILLI - DELALLO,,,,,,,KEHE,,,,0,,$3.70,$5.00,,,,Winston Salem Sales Tax,,
WHISPS CHEDDAR,,,,,,,KEHE,,,,0,,$3.36,$4.50,,,,Winston Salem Sales Tax,,
WHISPS ASIAGO PEPPERJACK,,,,,,,KEHE,,,,0,,$3.36,$4.50,,,,Winston Salem Sales Tax,,
VOLUME&SHINE SHAMPOO,,,,,,,SELECT NUTRITION,,,,0,,$7.85,$11.50,,,,Winston Salem Sales Tax,,
COLOR CARE SHAMPOO,,,,,,,SELECT NUTRITION,,,,0,,$7.85,$11.50,,,,Winston Salem Sales Tax,,
COLOR CARE CONDITIONER,,,,,,,SELECT NUTRITION,,,,0,,$7.85,$11.50,,,,Winston Salem Sales Tax,,
KIDS BUBBLE WASH,,,,,,,SELECT NUTRITION,,,,0,,$-,$5.00,,,,Winston Salem Sales Tax,,
NOURISH SHAMPOO,,,,,,,SELECT NUTRITION,,,,0,,$7.85,$11.50,,,,Winston Salem Sales Tax,,
NOURISH CONDITIONER,,,,,,,SELECT NUTRITION,,,,0,,$7.85,$11.50,,,,Winston Salem Sales Tax,,
FRAGRANCE-FREE BODY WASH,,,,,,,SELECT NUTRITION,,,,0,,$7.85,$11.50,,,,Winston Salem Sales Tax,,
SENSITIVE SHOWER GEL,,,,,,,SELECT NUTRITION,,,,0,,$7.85,$11.50,,,,Winston Salem Sales Tax,,
SOUR BLAST BUDDIES,,,,,,,KEHE,,,,0,,$2.61,$3.50,,,,Winston Salem Sales Tax,,
PEACH RINGS,,,,,,,KEHE,,,,0,,$2.61,$3.50,,,,Winston Salem Sales Tax,,
GUMMY WORMS,,,,,,,KEHE,,,,0,,$2.61,$3.50,,,,Winston Salem Sales Tax,,
TART CHERRY JUICE,,,,,,,KEHE,,,,0,,$11.38,$18.00,,,,Winston Salem Sales Tax,,
SIMPLE MILLS CASHEW COOKI,,,,,,,KEHE,,,,0,,$5.54,$7.50,,,,Winston Salem Sales Tax,,
CAULI CRACKERS 4 OZ,,,,,,,KEHE,,,,0,,$3.07,$4.50,,,,Winston Salem Sales Tax,,
SIMPLE MILLS NACHO CRACKE,,,,,,,KEHE,,,,0,,$3.39,$5.00,,,,Winston Salem Sales Tax,,
CAULI SEA SALT TORTILLA,,,,,,,KEHE,,,,0,,$3.05,$1.00,,,,Winston Salem Sales Tax,,
CAULI NACHO TORTILLA CHIP,,,,,,,KEHE,,,,0,,$3.34,$5.00,,,,Winston Salem Sales Tax,,
CAULI CHIPS LIME,,,,,,,KEHE,,,,0,,$3.34,$5.00,,,,Winston Salem Sales Tax,,
CAULIFLOWER STALKS,,,,,,,KEHE,,,,0,,$3.21,$4.00,,,,Winston Salem Sales Tax,,
CAULI SEA SALT CHIPS,,,,,,,KEHE,,,,0,,$3.10,$4.50,,,,Winston Salem Sales Tax,,
CAULI SALT & VIN CHIPS,,,,,,,KEHE,,,,0,,$3.10,$4.50,,,,Winston Salem Sales Tax,,
CAULI SOUR CREAM CHIPS,,,,,,,KEHE,,,,0,,$3.10,$4.50,,,,Winston Salem Sales Tax,,
CAULI BUFFALO CHIPS,,,,,,,KEHE,,,,0,,$3.05,$2.00,,,,Winston Salem Sales Tax,,
CAULI EVERYTHING CRACKERS,,,,,,,KEHE,,,,0,,$3.04,$4.50,,,,Winston Salem Sales Tax,,
EVERYTHING BUTTER 10 OZ,,,,,,,KEHE,,,,0,,$6.17,$8.50,,,,Winston Salem Sales Tax,,
HIPPEAS WHITE CHEDDAR,,,,,,,KEHE,,,,0,,$3.37,$4.50,,,,Winston Salem Sales Tax,,
HIPPEAS BBQ,,,,,,,KEHE,,,,0,,$3.37,$4.50,,,,Winston Salem Sales Tax,,
SIMPLE MILLS TOMATO BASIL,,,,,,,KEHE,,,,0,,$4.38,$6.00,,,,Winston Salem Sales Tax,,
SIMPLE MILLS PECAN COOKIE,,,,,,,KEHE,,,,0,,$4.38,$6.00,,,,Winston Salem Sales Tax,,
SIMPLE MILLS CHOC COOKIE,,,,,,,KEHE,,,,0,,$4.38,$6.00,,,,Winston Salem Sales Tax,,
SIMPLE MILLS BAR CARROT,,,,,,,KEHE,,,,0,,$4.77,$6.50,,,,Winston Salem Sales Tax,,
SIMPLE MILLS PITA- SALT,,,,,,,KEHE,,,,0,,$4.38,$6.00,,,,Winston Salem Sales Tax,,
SIMPLE MILLS PITA MEDITER,,,,,,,KEHE,,,,0,,$4.38,$6.00,,,,Winston Salem Sales Tax,,
SIMPLE MILLS CIN THINS,,,,,,,KEHE,,,,0,,$4.38,$6.00,,,,Winston Salem Sales Tax,,
SIMPLE MILLS CHOC THINS,,,,,,,KEHE,,,,0,,$4.38,$6.00,,,,Winston Salem Sales Tax,,
SIMPLE MILLS CRACKER EVER,,,,,,,KEHE,,,,0,,$4.26,$6.00,,,,Winston Salem Sales Tax,,
SIMPLE MILLS PB CHOC BAR,,,,,,,KEHE,,,,0,,$4.76,$6.50,,,,Winston Salem Sales Tax,,
HONEY PRETZEL STICKS,,,,,,,KEHE,,,,0,,$3.32,$5.00,,,,Winston Salem Sales Tax,,
PRETZELS,,,,,,,KEHE,,,,0,,$3.32,$5.00,,,,Winston Salem Sales Tax,,
QUINN CHEDDAR POPCORN,,,,,,,KEHE,,,,0,,$4.47,$6.00,,,,Winston Salem Sales Tax,,
SEA SALT PRETZEL TWISTS,,,,,,,KEHE,,,,0,,$3.32,$5.00,,,,Winston Salem Sales Tax,,
PB PRETZEL NUGGETS,,,,,,,KEHE,,,,0,,$3.91,$5.50,,,,Winston Salem Sales Tax,,
CHOCOLATE PRETZEL NUGGETS,,,,,,,KEHE,,,,0,,$4.49,$5.50,,,,Winston Salem Sales Tax,,
ALMOND BTR PRETZEL NUGGET,,,,,,,KEHE,,,,0,,$4.41,$5.50,,,,Winston Salem Sales Tax,,
DMSO PLAIN GEL,,,,2 OZ,,,DMSO Inc.,,,,0,,$8.53,$15.00,,,,Winston Salem Sales Tax,,
DMSO ALOE GEL,,,,2 OZ,,,DMSO Inc.,,,,0,,$9.63,$17.00,,,,Winston Salem Sales Tax,,
ROSE DMSO,,,,2 OZ,,,DMSO Inc.,,,,0,,$9.63,$17.00,,,,Winston Salem Sales Tax,,
NO-FENOL,,,,,,,Houston Enzymes,,,,0,,$21.60,$36.00,,,,Winston Salem Sales Tax,,
LYPAZYME,,,,120 CAP,,,Houston Enzymes,,,,0,,$19.80,$33.00,,,,Winston Salem Sales Tax,,
TRIENZA,,,,90 CAP,,,Houston Enzymes,,,,0,,$22.80,$38.00,,,,Winston Salem Sales Tax,,
ZYCARB,,,,90 CAP,,,Houston Enzymes,,,,0,,$21.25,$35.00,,,,Winston Salem Sales Tax,,
GAMMACORE - 3 MONTH,,,,,,,GAMMACORE SAPPHIRE,,,,0,,$300.00,$450.00,,,,Winston Salem Sales Tax,,
BONE BROTH,,,,32 OZ,,,SUMMERFIELD FARMS,,,,0,,$17.39,$23.00,,,,Winston Salem Sales Tax,,
GROUND BEEF 80/20- COST $6.29 PER LB,,,,,,,SUMMERFIELD FARMS,,,,0,,$6.29,$9.26,,,,Winston Salem Sales Tax,,
LEAN GROUND BEEF 85/15- COST $6.99 PER LB.,,,,,,,SUMMERFIELD FARMS,,,,0,,$6.99,$10.19,,,,Winston Salem Sales Tax,,
MARROW BONES- COST $3.84 PER LB.,,,,,,,SUMMERFIELD FARMS,,,,0,,$9.30,$18.37,,,,Winston Salem Sales Tax,,
BEEF SHOULDER POT ROAST- COST $6.99 PER LB.,,,,,,,SUMMERFIELD FARMS,,,,0,,$20.00,$26.37,,,,Winston Salem Sales Tax,,
ROUND EYE- COST $6.99 PER LB.,,,,,,,SUMMERFIELD FARMS,,,,0,,$14.00,$20.98,,,,Winston Salem Sales Tax,,
SIRLOIN BONELESS STEAK- COST $11.19 PER LB.,,,,,,,SUMMERFIELD FARMS,,,,0,,$3.25,$6.43,,,,Winston Salem Sales Tax,,
SOUP BONES- COST $3.14 PER LB.,,,,,,,SUMMERFIELD FARMS,,,,0,,$9.00,$13.51,,,,Winston Salem Sales Tax,,
GLUTAGENICS,,,,,,,Metagenics,,,,0,,$37.00,$64.00,,,,Winston Salem Sales Tax,,
ULTRA GLUCOSE CHOCOLATE,,,,,,,Metagenics,,,,0,,$75.00,$120.00,,,,Winston Salem Sales Tax,,
ULTRA GLUCOSE VANILLA,,,,,,,Metagenics,,,,0,,$75.00,$120.00,,,,Winston Salem Sales Tax,,
ESTROVERA,,,,30 TAB,,,Metagenics,,,,0,,$21.00,$32.00,,,,Winston Salem Sales Tax,,
ULTRA GI REPLENISH VAN.,,,,,,,Metagenics,,,,0,,$62.00,$100.00,,,,Winston Salem Sales Tax,,
ULTRA GI REPLENISH CHOC.,,,,,,,Metagenics,,,,0,,$62.00,$100.00,,,,Winston Salem Sales Tax,,
METAFIBER,,,,,,,Metagenics,,,,0,,$18.00,$30.00,,,,Winston Salem Sales Tax,,
CARDIOLUX,,,,120 CAP,,,Metagenics,,,,0,,$61.00,$84.00,,,,Winston Salem Sales Tax,,
YARLAP,,,,,,,YARLAP,,,,0,,$199.00,$299.00,,,,Winston Salem Sales Tax,,
